0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,,,,,
5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,,,,,,,#,0,Ñ¨
5,6,7,7,6,7,7,7,6,7,6,7,7,7,6,7,7,6,5,,,,,,,#,1,Ñ≠
5,6,7,7,6,7,7,7,6,7,6,7,7,7,6,7,7,6,5,,,,,,,#,2,ÑØ
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,,,,,,,#,3,ÑÆ
5,6,7,7,6,7,6,7,7,7,7,7,6,7,6,7,7,6,5,,,,,,,#,4,Å\
5,6,7,7,6,7,6,6,6,7,6,6,6,7,6,7,7,6,5,,,,,,,#,5,Åb
5,6,6,6,6,7,7,7,6,7,6,7,7,7,6,6,6,6,5,,,,,,,#,6,í òH
2,4,4,1,6,7,7,7,6,7,6,7,7,7,6,0,4,4,3,,,,,,,#,7,ÉuÉçÉbÉN
7,7,7,5,6,7,6,6,6,6,6,6,6,7,6,5,7,7,7,,,,,,,,,
4,4,4,3,6,7,6,7,7,7,7,7,6,7,6,2,4,4,4,,,,,,,,,
6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,,,,,,,,,
4,4,4,1,6,7,6,7,7,7,7,7,6,7,6,0,4,4,4,,,,,,,,,
7,7,7,5,6,7,6,6,6,6,6,6,6,7,6,5,7,7,7,,,,,,,,,
0,4,4,3,6,7,6,7,7,7,7,7,6,7,6,2,4,4,1,,,,,,,,,
5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,,,,,,,,,
5,6,7,7,6,7,7,7,6,7,6,7,7,7,6,7,7,6,5,,,,,,,,,
5,6,6,7,6,6,6,6,6,6,6,6,6,6,6,7,6,6,5,,,,,,,,,
5,7,6,7,6,7,6,7,,7,,7,6,7,6,7,6,7,5,,,,,,,,,
5,6,6,6,6,7,6,6,6,7,6,6,6,7,6,6,6,6,5,,,,,,,,,
5,6,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,6,5,,,,,,,,,
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,,,,,,,,,
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
